stage,T_K,x_alcohol,x_ester,x_DMF,y_alcohol,y_ester,y_DMF
162,408.78854086698396,0.14138975253419162,0.041348462411225154,0.8172617850545832,0.3597664927871658,0.12232345682165147,0.5179100503911827
163,408.85152663888914,0.14418097390606718,0.038091028298469914,0.8177279977954629,0.3677953413266784,0.11317487847624791,0.5190297801970737
164,408.9207860167432,0.1467976737617439,0.03492414092165763,0.8182781853165985,0.3754631685301492,0.10422630773409829,0.5203105237357525
165,408.99901830608763,0.1491863364668185,0.03186201183008781,0.8189516517030937,0.3826515637390936,0.0955264799730815,0.5218219562878248
166,409.0904693526115,0.15127730916552673,0.028914687412433093,0.8198080034220402,0.3892135129469029,0.08711443606090816,0.5236720509921889
167,409.2016157260834,0.15297649780027922,0.026087604075740296,0.8209358981239805,0.39495767122204856,0.0790177746585552,0.5260245541193962
168,409.3420814736586,0.15415394058197623,0.023381417235779085,0.8224646421822447,0.39962555065608274,0.07125143024247292,0.5291230191014443
169,409.52580464820153,0.1546291413570513,0.020792241927716223,0.8245786167152325,0.4028601302861215,0.06381720332010915,0.5333226663937694
170,409.77238708230976,0.15415426552831557,0.018312536336018582,0.8275331981356658,0.4041655650565004,0.05670442141692443,0.5391300135265752
171,410.108368758693,0.15239899520659667,0.015932977029894782,0.8316680277635086,0.40286102295343335,0.04989236624132765,0.5472466108052391
172,410.56780733301434,0.14894571952284075,0.013645737958666412,0.8374085425184928,0.39803908025171386,0.043355425186218335,0.5586054945620679
173,411.1910073202004,0.14331059105959468,0.011449390283921756,0.8452400186564836,0.3885525087115675,0.0370720991311601,0.5743753921572724
174,412.01973993776795,0.13501150924568134,0.009354849431792484,0.8556336413225262,0.37307212017059543,0.03103846288190762,0.5958894169474969
175,413.0874654790033,0.12369952122298598,0.007390203031369076,0.8689102757456449,0.35027352529088057,0.025284502452274166,0.6244419722568453
176,414.404910495037,0.10934361843177207,0.005600523626713842,0.8850558579415141,0.31919810780356733,0.019887378001615073,0.6609145141948176
177,415.9451598857827,0.09240916699140395,0.004039040413952245,0.9035517925946438,0.27976068331546117,0.014970909331308586,0.7052684073532303
178,417.6360758936198,0.07392504143246441,0.002750432136869056,0.9233245264306665,0.23323966973053817,0.010681323569305892,0.7560790067001558
179,419.3673466724345,0.0553335188418218,0.001753487554328585,0.9429129936038496,0.18246151138718242,0.007141358699051716,0.8103971299137659
180,421.01383860530484,0.038133464630929204,0.0010332333587708697,0.9608333020102999,0.13138832023486896,0.004402629744268796,0.8642090500208622
181,422.4667525836764,0.023454153475234035,0.0005465875496090303,0.9759992589751569,0.08413766326154111,0.0024240031939906704,0.9134383335444682
182,423.660211091015,0.0118020556861358,0.00023719885823957805,0.9879607454556246,0.043811796405655745,0.0010871275124217008,0.9551010760819226
