dataset,rank,system_id,system_label,data_points
Binary,222,smiles:CC(F)F || smiles:FC(F)(F)I,"1,1-二氟乙烷 / 三氟碘甲烷",36
Binary,223,smiles:CCC || smiles:FC(F)=C(F)C(F)(F)F,丙烷 / 六氟丙烯,36
Binary,224,smiles:CC(F)F || smiles:FC(F)C(F)F,"1,1-二氟乙烷 / 1,1,2,2-四氟乙烷",36
Binary,225,smiles:CC(C)C || smiles:FC(F)(F)I,2-甲基丙烷 / 三氟碘甲烷,36
Binary,226,smiles:CC(C)OC(C)C || smiles:CCC(C)Cl,二异丙醚 / 2-氯丁烷,36
Binary,227,smiles:CC(=O)C(C)C || smiles:CC(C)CC(C)(C)C,3-甲基-2-丁酮 / 异辛烷,36
Binary,228,smiles:C=CCC || smiles:FCF,1-丁烯 / 二氟甲烷,36
Binary,229,smiles:CC(C)C || smiles:FC(F)C(F)F,"2-甲基丙烷 / 1,1,2,2-四氟乙烷",36
Binary,230,smiles:C1CCOCC1 || smiles:CCCCl,四氢吡喃 / 1-氯丙烷,35
Binary,231,smiles:CC || smiles:FC(F)(F)C(F)(F)F,乙烷 / 六氟乙烷,35
Binary,232,smiles:CC(C)C || smiles:FCF,2-甲基丙烷 / 二氟甲烷,35
Binary,233,smiles:CCCC(C)=O || smiles:CCOC(=O)OCC,2-戊酮 / 碳酸二乙酯,35
Binary,234,smiles:CCCCCCC || smiles:S,正庚烷 / 硫化氢,35
Binary,235,smiles:CCOC(C)(C)C || smiles:c1ccsc1,2-乙氧基-2-甲基丙烷 / 噻吩,35
Binary,236,smiles:CC(C)CO || smiles:O=C=O,2-甲基-1-丙醇 / 二氧化碳,34
Binary,237,smiles:CCCCO || smiles:CCCO,1-丁醇 / 1-丙醇,34
Binary,238,smiles:CO || smiles:COC(C)=O,甲醇 / 乙酸甲酯,34
Binary,239,smiles:C=CCC || smiles:FC(F)=C(F)C(F)(F)F,1-丁烯 / 六氟丙烯,34
Binary,240,fallback:d8cb57b6c8e8471d || smiles:CC(C)O,(S)-2-羟基丙酸异丙酯 / 2-丙醇,34
Binary,241,smiles:C=C(F)C(F)(F)F || smiles:FC(F)(F)F,"2,3,3,3-四氟-1-丙烯 / 四氟甲烷",34
Binary,242,smiles:CC(C)(C)Cl || smiles:CCCCOCC,2-氯-2-甲基丙烷 / 乙基丁基醚,33
Binary,243,smiles:O=C(O)C(Cl)Cl || smiles:O=C(O)CCl,二氯乙酸 / 氯乙酸,33
Binary,244,smiles:CCC(C)Cl || smiles:CCCCOCC,2-氯丁烷 / 乙基丁基醚,33
Binary,245,smiles:CC(C)OC(C)C || smiles:CCCCCl,二异丙醚 / 1-氯丁烷,33
Binary,246,smiles:CC(C)CCl || smiles:CCCCOCC,1-氯-2-甲基丙烷 / 乙基丁基醚,33
Binary,247,smiles:CC(C)(C)Cl || smiles:CC(C)OC(C)C,2-氯-2-甲基丙烷 / 二异丙醚,33
Binary,248,smiles:C=CCC || smiles:FC(F)(F)C1(F)OC1(F)F,"1-丁烯 / 2,2,3-三氟-3-(三氟甲基)环氧乙烷",33
Binary,249,smiles:C1CCCCC1 || smiles:CCCCCC(=O)O,环己烷 / 己酸,33
Binary,250,fallback:b63ac75aa69de5ee || smiles:O=C(O)CCl,1-(2-(2-(戊氧基)乙氧基)乙氧基)戊烷 / 氯乙酸,33
