model,T,S,status,E,R,xE,xR,total_balance_error,benzene_recovery,heptane_retention,solvent_to_raffinate,E_benzene_solvent_free
Experiment-interpolation,303.15,1.1,valid,1.213967656218672,0.8860323437813281,"[0.07505567583574932, 0.8068406555531373, 0.1181036686111133]","[0.7248247481714946, 0.13602386107246406, 0.1391513907560413]",0.0,0.5376526266549748,0.8757520506178641,0.12052154043622108,0.6114312975606684
ThermoFormer,303.15,1.1,valid,1.2679958891981675,0.8320041108018326,"[0.07430939165182276, 0.8133159927380041, 0.11237461561017306]","[0.7681564572728763, 0.08259414069824428, 0.14924940202887937]",0.0,0.5343395649147138,0.8715127229863711,0.06871866458908418,0.601950950476783
UNIFAC-LLE,303.15,1.1,valid,1.2824237851051432,0.8175762148948569,"[0.07588646871136574, 0.8012833242900528, 0.12283020699858155]","[0.7779271330343611, 0.08857303454165631, 0.13349983242398258]",1.1102230246251565e-16,0.5907014211913848,0.8672928012139647,0.07241520632231878,0.6181172594587288
Experiment-interpolation,303.15,1.2,valid,1.3315529683950282,0.8684470316049716,"[0.07388592919994566, 0.8128147187288489, 0.1132993520712054]","[0.7311330246717216, 0.13552254108569106, 0.13334443424258738]",3.885780586188048e-16,0.5657403321286775,0.8658413249788924,0.1176941485214312,0.6052791720684668
ThermoFormer,303.15,1.2,valid,1.3843619225185764,0.8156380774814235,"[0.07360297786287501, 0.8189883770207844, 0.10740864511634053]","[0.7741671101792971, 0.08119247702562837, 0.14464041279507453]",2.220446049250313e-16,0.5575966441813972,0.8610547819036245,0.06622367586713818,0.5933798247235959
UNIFAC-LLE,303.15,1.2,valid,1.3989217492918302,0.8010782507081696,"[0.07456391379941661, 0.8080101610348704, 0.11742592516571294]","[0.7852219830596291, 0.08695406724367762, 0.12782394969669328]",4.440892098500626e-16,0.6160113024188645,0.8577603444641014,0.06965701207952582,0.6116257287295325
Experiment-interpolation,303.15,1.3,valid,1.447970432405426,0.8520295675945738,"[0.07280494981041294, 0.8183354348968197, 0.10885961529276739]","[0.7369625920938445, 0.13505926420446276, 0.12797814370169278]",4.440892098500626e-16,0.5910956408510892,0.8562462527387654,0.11507448647976971,0.5992341722280193
ThermoFormer,303.15,1.3,valid,1.4998939907732103,0.8001060092267896,"[0.07310354698423666, 0.8240142192587965, 0.10288223375696694]","[0.7795039098758805, 0.08007191982468048, 0.14042417029943893]",2.220446049250313e-16,0.5786716656352482,0.850480585237459,0.06406602422205256,0.5846053773415973
UNIFAC-LLE,303.15,1.3,valid,1.514258782800428,0.7857412171995718,"[0.0733800140633417, 0.8141400507441685, 0.1124799351924898]","[0.791885405698224, 0.08550051373211014, 0.12261408056966586]",3.885780586188048e-16,0.6387139865776914,0.8484777307580444,0.06718127773105692,0.6051865162066952
Experiment-interpolation,303.15,1.4,valid,1.5633789271141938,0.8366210728858062,"[0.07180333010622605, 0.8234508498146313, 0.10474582007914268]","[0.7423641840699953, 0.13462999861695413, 0.12300581731305071]",3.3306690738754696e-16,0.6140902793063501,0.8469238911117759,0.11263429388553077,0.5932955212141449
ThermoFormer,303.15,1.4,valid,1.6147725553862697,0.7852274446137303,"[0.07276786812227581, 0.8284926177370828, 0.09873951414064136]","[0.7842692982775894, 0.07917815273078599, 0.13655254899162447]",1.1102230246251565e-16,0.5979069658743081,0.8397678776938842,0.062172858538030736,0.5757158253938934
UNIFAC-LLE,303.15,1.4,valid,1.6286168281327438,0.7713831718672562,"[0.07231397802005325, 0.8197500375551846, 0.10793598442476214]","[0.7979971488496284, 0.08418811343521636, 0.11781473771515531]",1.1102230246251565e-16,0.6591988522321548,0.8394021433918,0.06494129397517756,0.5988127984093611
Experiment-interpolation,303.15,1.5,valid,1.6775726318616528,0.822427368138347,"[0.0708168788088374, 0.8285282857399223, 0.10065483545124027]","[0.7472184163336217, 0.13385209124137165, 0.11892949242500668]",1.6653345369377348e-16,0.633209239565771,0.8379993757769513,0.11008362311945519,0.5870054771749307
ThermoFormer,303.15,1.5,valid,1.7291254360453374,0.7708745639546627,"[0.07255555596081714, 0.8325111027549925, 0.09493334128419036]","[0.788553293128017, 0.07846137265951642, 0.13298533421246653]",2.220446049250313e-16,0.6155687067872492,0.8289213763569183,0.06048387643618901,0.5668037872702641
UNIFAC-LLE,303.15,1.5,valid,1.7421413500427563,0.7578586499572437,"[0.07134898683371645, 0.8249042988199574, 0.10374671434632601]","[0.8036238856955982, 0.08299715415437262, 0.11337896015002916]",8.326672684688674e-16,0.6777804037267854,0.8304999723909007,0.06290011119772607,0.5925143429971949
Experiment-interpolation,303.15,1.6,valid,1.7908371478185614,0.8091628521814388,"[0.0698816620994018, 0.8333586318371102, 0.09675970606348794]","[0.751624540418282, 0.13296508157881418, 0.1154103780029037]",2.220446049250313e-16,0.6498032851143717,0.8293454412196639,0.10759040465085097,0.5806463732877337
